medication_identifier,medication_name,short_name,medication_pronunciation,medication_color_group,medication_components,primary_medication_category,medication_categories
m-sulfamethoxazole-trimethoprim-oral,Sulfamethoxazole-Trimethoprim Oral,Sulfamethoxazole-Trimethoprim,sulfamethoxazole-trimethoprim ,Miscellaneous White Label,,SULFAMETHOXAZOLE_TRIMETHOPRIM,SULFAMETHOXAZOLE_TRIMETHOPRIM | PREOP_DEFAULT_DOSE_NON_IV | NOT_ON_MED_LIST
m-sumatriptan-oral,Sumatriptan Oral,Sumatriptan,sumatriptan ,Miscellaneous White Label,,SUMATRIPTAN,SUMATRIPTAN
m-sumatriptan-sc,Sumatriptan SC,Sumatriptan,sumatriptan ,Miscellaneous White Label,,SUMATRIPTAN,SUMATRIPTAN
m-terbutaline-oral,Terbutaline Oral,Terbutaline,terbutaline ,Miscellaneous White Label,,TERBUTALINE,TERBUTALINE
m-terbutaline-sc,Terbutaline SC,Terbutaline,terbutaline ,Miscellaneous White Label,,TERBUTALINE,TERBUTALINE
m-tetracaine,Tetracaine,Tetracaine,tetracaine,Local Anesthetics,,TETRACAINE,TETRACAINE
m-tetracaine-oxymetazoline,Tetracaine-Oxymetazoline,Tetracaine-Oxymetazoline,tetracaine-oxymetazoline,Local Anesthetics,,TETRACAINE,TETRACAINE
m-thiamine-iv,Thiamine IV,Thiamine,thiameen,Miscellaneous White Label,,THIAMINE,THIAMINE | INTRAVENOUS
m-thiamine-oral,Thiamine Oral,Thiamine,thiameen,Miscellaneous White Label,,THIAMINE,THIAMINE
m-tigecycline,Tigecycline,Tigecycline,tigecycline,Miscellaneous White Label,,TIGECYCLINE,TIGECYCLINE | INTRAVENOUS | PREOP_DEFAULT_DOSE_IV
m-tobramycin,Tobramycin,Tobramycin,tobramycin,Miscellaneous White Label,,TOBRAMYCIN,TOBRAMYCIN | ANTIBIOTIC | INTRAVENOUS | AMINOGLYCOSIDE
m-tranexamic-acid,Tranexamic Acid,Tranexamic Acid,tranexamic acid,Miscellaneous White Label,,TRANEXAMIC_ACID,TRANEXAMIC_ACID | INTRAVENOUS
m-valproate-iv,Valproate IV,Valproate,valproate ,Miscellaneous White Label,,VALPROATE,VALPROATE | INTRAVENOUS
m-valproate-oral,Valproate Oral,Valproate,valproate ,Miscellaneous White Label,,VALPROATE,VALPROATE
m-vancomycin-iv,Vancomycin IV,Vancomycin,vancomycin ,Miscellaneous White Label,,VANCOMYCIN,VANCOMYCIN | ANTIBIOTIC  | INTRAVENOUS
m-vancomycin-oral,Vancomycin Oral,Vancomycin,vancomycin ,Miscellaneous White Label,,VANCOMYCIN,VANCOMYCIN | ANTIBIOTIC
m-vasopressin,Vasopressin,Vasopressin,vasopressin,Vasopressors,,VASOPRESSIN,VASOPRESSIN | INTRAVENOUS
m-vecuronium,Vecuronium,Vecuronium,vecuronium,Muscle Relaxants,,VECURONIUM,VECURONIUM | NONDEP_NMB | INTRAVENOUS
m-verapamil-iv,Verapamil IV,Verapamil,verapamil ,Hypotensive Agents,,VERAPAMIL,VERAPAMIL | INTRAVENOUS
m-verapamil-oral,Verapamil Oral,Verapamil,verapamil ,Hypotensive Agents,,VERAPAMIL,VERAPAMIL
g-verapamil-lidocaine-nitroglycerin,Verapamil-Lidocaine-Nitroglycerin,Verapamil-Lidocaine-Nitroglycerin,,,m-verapamil-iv | g-lidocaine | m-nitroglycerin-iv,VERAPAMIL_LIDOCAINE_NITROGLYCERIN,LIDOCAINE | VERAPAMIL | NITROGLYCERIN | LOCAL_ANESTHETIC | NOT_ON_MED_LIST
g-lidocaine-bupivacaine,Lidocaine-Bupivacaine,Lidocaine-Bupivacaine,,,g-lidocaine | g-bupivacaine,LIDOCAINE_BUPIVACAINE,LIDOCAINE | BUPIVACAINE | LOCAL_ANESTHETIC
g-lidocaine-bupivacaine-epinephrine,Lidocaine-Bupivacaine-EPINEPHrine,Lidocaine-Bupivacaine-EPINEPHrine,,,g-lidocaine | g-bupivacaine,LIDOCAINE_BUPIVACAINE,LIDOCAINE | BUPIVACAINE | LOCAL_ANESTHETIC | EPINEPHRINE
g-mepivacaine-bupivacaine,Mepivacaine-Bupivacaine,Mepivacaine-Bupivacaine,,,g-mepivacaine | g-bupivacaine,MEPIVACAINE_BUPIVACAINE,MEPIVACAINE | BUPIVACAINE | LOCAL_ANESTHETIC
g-mepivacaine-bupivacaine-epinephrine,Mepivacaine-Bupivacaine-EPINEPHrine,Mepivacaine-Bupivacaine-EPINEPHrine,,,g-mepivacaine | g-bupivacaine,MEPIVACAINE_BUPIVACAINE_EPINEPHRINE,MEPIVACAINE | BUPIVACAINE | LOCAL_ANESTHETIC | EPINEPHRINE
g-warfarin,Warfarin,Warfarin,,,,WARFARIN,WARFARIN | NOT_ON_MED_LIST
g-donepezil,Donepezil,Donepezil,,,,DONEPEZIL,DONEPEZIL | NOT_ON_MED_LIST
g-donepezil-memantine,Donepezil-Memantine,Donepezil-Memantine,,,g-donepezil | g-memantine,DONEPEZIL_MEMANTINE,DONEPEZIL | MEMANTINE | NOT_ON_MED_LIST
g-memantine-donepezil,Memantine-Donepezil,Memantine-Donepezil,,,g-donepezil | g-memantine,DONEPEZIL_MEMANTINE,DONEPEZIL | MEMANTINE | NOT_ON_MED_LIST
g-galantamine,Galantamine,Galantamine,,,,GALANTAMINE,GALANTAMINE | NOT_ON_MED_LIST
g-rivastigmine,Rivastigmine,Rivastigmine,,,,RIVASTIGMINE,RIVASTIGMINE | NOT_ON_MED_LIST
g-pyridostigmine,Pyridostigmine,Pyridostigmine,,,,PYRIDOSTIGMINE,PYRIDOSTIGMINE | NOT_ON_MED_LIST
g-neostigmine,Neostigmine,Neostigmine,,,,NEOSTIGMINE,NEOSTIGMINE | NMB_REVERSAL | NOT_ON_MED_LIST
g-memantine,Memantine,Memantine,,,,MEMANTINE,MEMANTINE | NOT_ON_MED_LIST
m-potassium-chloride,Potassium Chloride,Potassium Chloride,,,,POTASSIUM_CHLORIDE,POTASSIUM_CHLORIDE | NOT_ON_MED_LIST | INFUSION_ONLY
m-anti-thymocyte-globulin-rabbit,Anti-Thymocyte Globulin (Rabbit),Anti-Thymocyte Globulin (Rabbit),,,,ANTITHYMOCYTE_GLOBULIN_RABBIT,ANTITHYMOCYTE_GLOBULIN_RABBIT | NOT_ON_MED_LIST | INFUSION_ONLY
m-clevidipine,Clevidipine,Clevidipine,,,,CLEVIDIPINE,CLEVIDIPINE | NOT_ON_MED_LIST | INFUSION_ONLY
m-acetylsalicylic-acid-81-tablet,Acetylsalicylic Acid (Aspirin) 81 mg Tablet,Acetylsalicylic Acid (Aspirin),acetylsalicylic acid,Miscellaneous White Label,,ACETYLSALICYLIC_ACID,ACETYLSALICYLIC_ACID | NSAID
g-epinephrine-clonidine-ropivacaine-morphine,Clonidine-EPINEPHrine-Ropivacaine-MorPHINE,Clonidine-EPINEPHrine-Ropivacaine-MorPHINE,,,g-clonidine | g-ropivacaine | g-morphine,EPINEPHRINE_CLONIDINE_ROPIVACAINE_MORPHINE,ROPIVACAINE | LOCAL_ANESTHETIC  | CLONIDINE | EPINEPHRINE | NOT_ON_MED_LIST | ROPIVACAINE_EPINEPHRINE | NARCOTIC | MORPHINE
g-epinephrine-ketorolac-ropivacaine,EPINEPHrine-Ketorolac-Ropivacaine,EPINEPHrine-Ketorolac-Ropivacaine,,,m-ketorolac | g-ropivacaine,EPINEPHRINE_KETOROLAC_ROPIVACAINE,ROPIVACAINE | LOCAL_ANESTHETIC | KETOROLAC | EPINEPHRINE | NOT_ON_MED_LIST | ROPIVACAINE_EPINEPHRINE | NSAID
g-clonidine-epinephrine-ketorolac-ropivacaine-morphine,Clonidine-EPINEPHrine-Ketorolac-Ropivacaine-MorPHINE,Clonidine-EPINEPHrine-Ketorolac-Ropivacaine-MorPHINE,,,g-clonidine | m-ketorolac | g-ropivacaine | g-morphine,CLONIDINE_EPINEPHRINE_KETOROLAC_ROPIVACAINE_MORPHINE,ROPIVACAINE | LOCAL_ANESTHETIC | KETOROLAC | CLONIDINE | EPINEPHRINE | NOT_ON_MED_LIST | ROPIVACAINE_EPINEPHRINE | NARCOTIC | NSAID | MORPHINE
m-ropivacaine-epinephrine-pf-0.5-1-20,"ROPivacaine-EPINEPHrine 0.5 %-1:200,000 (PF)",ROPivacaine-EPINEPHrine,ropivacaine epinephrine,Local Anesthetics,,ROPIVACAINE_EPINEPHRINE,ROPIVACAINE | LOCAL_ANESTHETIC | EPINEPHRINE | ROPIVACAINE_EPINEPHRINE
m-ropivacaine-epinephrine-0.25-1-40,"ROPivacaine-EPINEPHrine 0.25 %-1:400,000",ROPivacaine-EPINEPHrine,ropivacaine epinephrine,Local Anesthetics,,ROPIVACAINE_EPINEPHRINE,ROPIVACAINE | LOCAL_ANESTHETIC | EPINEPHRINE | ROPIVACAINE_EPINEPHRINE
m-ropivacaine-epinephrine-clonidine-ketorolac,ROPivacaine-EPINEPHrine-CloNIDine-Ketorolac (RECK),ROPivacaine-EPINEPHrine-CloNIDine-Ketorolac,ropivacaine epinephrine clonidine ketorolac,Local Anesthetics,,ROPIVACAINE_EPINEPHRINE_CLONIDINE_KETOROLAC,ROPIVACAINE | LOCAL_ANESTHETIC | EPINEPHRINE | ROPIVACAINE_EPINEPHRINE | KETOROLAC | CLONIDINE | NSAID | NARCOTIC | NOT_ON_MED_LIST
m-ropivacaine-0.2-epinephrine-clonidine-ketorolac,ROPivacaine 0.2%-EPINEPHrine-CloNIDine-Ketorolac (RECK),ROPivacaine-EPINEPHrine-CloNIDine-Ketorolac,ropivacaine epinephrine clonidine ketorolac,Local Anesthetics,,ROPIVACAINE_EPINEPHRINE_CLONIDINE_KETOROLAC,ROPIVACAINE | LOCAL_ANESTHETIC | EPINEPHRINE | ROPIVACAINE_EPINEPHRINE | KETOROLAC | CLONIDINE | NSAID | NARCOTIC
m-ropivacaine-0.25-epinephrine-clonidine-ketorolac,ROPivacaine 0.25%-EPINEPHrine-CloNIDine-Ketorolac (RECK),ROPivacaine-EPINEPHrine-CloNIDine-Ketorolac,ropivacaine epinephrine clonidine ketorolac,Local Anesthetics,,ROPIVACAINE_EPINEPHRINE_CLONIDINE_KETOROLAC,ROPIVACAINE | LOCAL_ANESTHETIC | EPINEPHRINE | ROPIVACAINE_EPINEPHRINE | KETOROLAC | CLONIDINE | NSAID | NARCOTIC
m-epinephrine-clonidine-ropivacaine,EPINEPHrine 1mg/mL-CloNIDine 100 mcg/mL-ROPivacaine 0.5%,EPINEPHrine-CloNIDine-ROPivacaine,epinephrine clonidine ropivacaine,Local Anesthetics,,EPINEPHRINE_CLONIDINE_ROPIVACAINE,ROPIVACAINE | LOCAL_ANESTHETIC | EPINEPHRINE | ROPIVACAINE_EPINEPHRINE | CLONIDINE | NARCOTIC
g-lidocaine-1-epinephrine-ropivacaine-0.5,Lidocaine 1%-EPINEPHrine-ROPivacaine 0.5%,Lidocaine 1%-EPINEPHrine-ROPivacaine 0.5%,lidocaine epinephrine ropivacaine,Local Anesthetics,g-lidocaine | g-ropivacaine,LIDOCAINE_EPINEPHRINE_ROPIVACAINE,LIDOCAINE | ROPIVACAINE | LOCAL_ANESTHETIC | EPINEPHRINE | NOT_ON_MED_LIST
g-lidocaine-1-bupivacaine-0.5-epinephrine,Lidocaine 1%-Bupivacaine 0.5%-EPINEPHrine,Lidocaine 1%-Bupivacaine 0.5%-EPINEPHrine,lidocaine bupivacaine epinephrine,Local Anesthetics,g-lidocaine | g-bupivacaine,LIDOCAINE_BUPIVACAINE_0_DOT_5_EPINEPHRINE,LIDOCAINE | BUPIVACAINE | LOCAL_ANESTHETIC | EPINEPHRINE | NOT_ON_MED_LIST
g-lidocaine-1-bupivacaine-0.25-epinephrine,Lidocaine 1%-Bupivacaine 0.25%-EPINEPHrine,Lidocaine 1%-Bupivacaine 0.25%-EPINEPHrine,lidocaine bupivacaine epinephrine,Local Anesthetics,g-lidocaine | g-bupivacaine,LIDOCAINE_1_BUPIVACAINE_0_DOT_25_EPINEPHRINE,LIDOCAINE | BUPIVACAINE | LOCAL_ANESTHETIC | EPINEPHRINE | NOT_ON_MED_LIST
g-exparel,Exparel (Bupivacaine liposome injectable suspension),Exparel,exparel,Local Anesthetics,,EXPAREL ,EXPAREL | LOCAL_ANESTHETIC | NOT_ON_MED_LIST
